task_id,n_sources,comparison_level,method,method_display,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_mouse_0,49,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.8999908550525835,0.9125248049910658,0.6652935103855545,0.825925925925926,0.825925925925926,0.725925925925926,0.925925925925926,0.6071716317534449
gue_prom_300_all,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.9848028808838972,0.9845016646411086,0.8756371570838788,0.9376689189189188,0.9375736200520476,0.9516778523489932,0.923469387755102,0.4700906574726117
gue_prom_core_all,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.9247387101987598,0.9259603913856406,0.6954144303370916,0.8474662162162162,0.8475139518915404,0.8298517520215634,0.8651761517615176,0.5172319933772087
ipromoter_hs_notata,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.9286545260317436,0.931745897422168,0.6951407850313591,0.8475688191407255,0.8475695068392419,0.846232964772435,0.8489060489060489,0.4963714778423309
ipromoter_hs_tata,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.9874896222498962,0.9885286326591538,0.8804938390405233,0.9396355353075172,0.939694894146949,0.9136363636363636,0.9657534246575342,0.60871254324913
ipromoter_mm_notata,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.9518278238319604,0.953457883404823,0.7623386026854552,0.8808523876186032,0.8808742632099609,0.8607830950901181,0.9009654313298038,0.5598102259635926
ipromoter_mm_tata,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.9903927203065136,0.9909890668840948,0.9058913400284436,0.9529540481400438,0.9529597701149426,0.9525862068965516,0.9533333333333334,0.4739523631334306
snnrice6ma_rice_chen,53,Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.8819207108680793,0.8919849485175163,0.5724097168317861,0.7849056603773585,0.7847174755069493,0.7348484848484849,0.8345864661654135,0.5554666304588318
gue_emp_H3,53,Learned fusion,xgboost_stacking,XGBoost stacking,0.9551561021759698,0.9536123827423676,0.7853310068203495,0.8924515698062793,0.8922868210135485,0.9112582781456954,0.8733153638814016,0.4641365724802017
gue_human_tf_0,53,Learned fusion,xgboost_stacking,XGBoost stacking,0.924032,0.9098608641102532,0.6908033745759942,0.842,0.8420000000000001,0.912,0.772,0.5031911799311638
gue_mouse_0,49,Learned fusion,xgboost_stacking,XGBoost stacking,0.8969669257735102,0.908897380393686,0.6412562079579887,0.8098765432098766,0.8098765432098765,0.6814814814814815,0.9382716049382716,0.5636943462491036
gue_prom_300_all,53,Learned fusion,xgboost_stacking,XGBoost stacking,0.9869072729763048,0.9875023863664444,0.8719483090830742,0.9356418918918918,0.9355031274254668,0.9560402684563758,0.9149659863945578,0.4253584370017055
gue_prom_core_all,53,Learned fusion,xgboost_stacking,XGBoost stacking,0.9242896451033245,0.9248518815640242,0.6960116285319203,0.847972972972973,0.8479892110241857,0.8419811320754716,0.8539972899728997,0.4887787662446503
