task_id,method,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
ipromoter_hs_notata,probability_median,53,0.8739208002771901,0.8733021369991226,0.5771253219839982,0.7882685875996913,0.7882800480383407,0.7660066855232708,0.8105534105534106,0.5063788151741028
ipromoter_hs_notata,rank_mean,53,0.8677634141506603,0.8660687517628762,0.5691672046808753,0.7845382042706457,0.7845334479687784,0.7937773206479815,0.7752895752895753,0.4901153418250346
ipromoter_hs_notata,majority_vote,53,0.8648251859102978,0.857483211466657,0.575817670133618,0.7877540519680988,0.7877623353066912,0.7716636667523785,0.8038610038610039,0.5283018867924528
ipromoter_hs_notata,oof_skill_linear_pool,53,0.8899000017539487,0.8889065279151982,0.6138620135272959,0.806920504244919,0.806922504916848,0.8030341990228851,0.8108108108108109,0.5033221426108447
ipromoter_hs_notata,oof_skill_logarithmic_pool,53,0.8918356993440562,0.8920656263545568,0.6163726744590285,0.8078209416002058,0.8078333338297339,0.783749035741836,0.8319176319176319,0.5210569769981278
ipromoter_hs_notata,dempster_shafer_pool,53,0.8630731896352878,0.8284582237743701,0.6278737028642308,0.8138667352714175,0.8138720471196685,0.803548470043713,0.8241956241956242,0.7393125282044706
ipromoter_hs_notata,best_primitive_head,53,0.8229628298540616,0.8181615372190737,0.4837354388948354,0.7418317468484693,0.7418359806377292,0.7336076112111083,0.75006435006435,0.5062251925468445
ipromoter_hs_notata,best_standalone_source,53,0.8962390043130594,0.8962058498420951,0.6427439279720032,0.8209416002058143,0.820954790149956,0.7953201337104654,0.8465894465894466,0.67919921875
ipromoter_hs_notata,reliability_attention,53,0.8922580369739024,0.892067582221137,0.6179575281675077,0.808978646771289,0.8089787947592011,0.8086911802519928,0.8092664092664092,0.4978965676021959
ipromoter_hs_notata,family_best_weighted_pool,53,0.8989603054915474,0.899514162998551,0.6295496059996617,0.8147671726267044,0.8147688444422823,0.8115196708665466,0.818018018018018,0.5132714903072336
ipromoter_hs_notata,correlation_pruned_weighted_pool,53,0.9072184920474972,0.9087350109176456,0.6512199285159586,0.8255724208901466,0.8255762135422717,0.8182051941373104,0.8329472329472329,0.5141195014385403
ipromoter_hs_notata,choquet_integral,53,0.9118443499518328,0.9136459640559336,0.6650673358204907,0.8325186519166452,0.8325209902993396,0.827976343533042,0.8370656370656371,0.5079928225886086
ipromoter_hs_notata,raw_score_logistic_l2,53,0.9286545260317436,0.931745897422168,0.6951407850313591,0.8475688191407255,0.8475695068392419,0.846232964772435,0.8489060489060489,0.4963714778423309
ipromoter_hs_notata,aligned_score_logistic_l2,53,0.929437051936409,0.9331510289667846,0.703260238784125,0.8514278363776692,0.8514364675074368,0.8346618668038056,0.8682110682110682,0.5057410156726837
ipromoter_hs_notata,sparse_aligned_control,53,0.9304474257161324,0.9343286867656736,0.702138417362567,0.8509133007460766,0.8509208727516776,0.8362046798662895,0.8656370656370657,0.5079851400852206
ipromoter_hs_notata,mucff,53,0.93052006567049,0.9343852870573272,0.7053540665203895,0.852328273732956,0.8523396187577211,0.8302905631267679,0.8743886743886744,0.51530058324337
ipromoter_hs_tata,best_source,53,0.9807129514321296,0.9793927104066036,0.8480290550774665,0.9236902050113897,0.9237339144873392,0.9045454545454544,0.9429223744292238,0.7418652343750001
ipromoter_hs_tata,probability_mean,53,0.9477272727272728,0.9470478344420836,0.7449096080809201,0.8724373576309795,0.8724470734744707,0.8681818181818182,0.8767123287671232,0.5175272239273728
ipromoter_hs_tata,probability_median,53,0.9432570568700708,0.9423485151316552,0.729962622276143,0.8644646924829157,0.8645236612702366,0.8386363636363636,0.8904109589041096,0.5140246033668519
ipromoter_hs_tata,rank_mean,53,0.9386078248235784,0.9373730388987672,0.7049176441969432,0.8507972665148064,0.8506849315068493,0.9,0.8013698630136986,0.465290768126237
ipromoter_hs_tata,majority_vote,53,0.939087795765878,0.9360723195960652,0.7043143378158332,0.8519362186788155,0.8518939393939394,0.8704545454545455,0.8333333333333334,0.490566037735849
ipromoter_hs_tata,oof_skill_linear_pool,53,0.9524439601494396,0.952206216706628,0.7451359748264582,0.8724373576309795,0.8724055624740557,0.8863636363636364,0.8584474885844748,0.4882954199076716
ipromoter_hs_tata,oof_skill_logarithmic_pool,53,0.9510325861353258,0.950410343986221,0.7518767437387066,0.8758542141230068,0.8758769198837693,0.865909090909091,0.8858447488584474,0.5402805979837669
ipromoter_hs_tata,dempster_shafer_pool,53,0.9239440639269408,0.895541725902345,0.7723970062099849,0.8861047835990888,0.8860782482357825,0.8977272727272727,0.8744292237442922,0.371997003989795
ipromoter_hs_tata,best_primitive_head,53,0.9323941469489416,0.9411905497865724,0.7139121545401864,0.856492027334852,0.8565483603154835,0.8318181818181818,0.8812785388127854,0.4775197112560272
ipromoter_hs_tata,best_standalone_source,53,0.9807129514321296,0.9793927104066036,0.8480290550774665,0.9236902050113897,0.9237339144873392,0.9045454545454544,0.9429223744292238,0.7418652343750001
ipromoter_hs_tata,reliability_attention,53,0.9524439601494396,0.952206216706628,0.7451359748264582,0.8724373576309795,0.8724055624740557,0.8863636363636364,0.8584474885844748,0.4882954199075953
ipromoter_hs_tata,family_best_weighted_pool,53,0.9713522208385224,0.9718208604937864,0.809208477065864,0.9043280182232346,0.9043690327936904,0.8863636363636364,0.9223744292237442,0.5439527569633203
ipromoter_hs_tata,correlation_pruned_weighted_pool,53,0.9697229140722292,0.9706011106313353,0.813240759614779,0.9066059225512528,0.9065950601909506,0.9113636363636364,0.9018264840182648,0.5212616597801178
ipromoter_hs_tata,choquet_integral,53,0.9696710253217102,0.970211058335241,0.8088550169056299,0.9043280182232346,0.9043015774180158,0.9159090909090908,0.8926940639269406,0.5551820413495324
ipromoter_hs_tata,raw_score_logistic_l2,53,0.9874896222498962,0.9885286326591538,0.8804938390405233,0.9396355353075172,0.939694894146949,0.9136363636363636,0.9657534246575342,0.60871254324913
ipromoter_hs_tata,aligned_score_logistic_l2,53,0.9886052303860524,0.9892088401480033,0.8889097687685007,0.9441913439635536,0.9442299709422995,0.9272727272727272,0.9611872146118722,0.5804462909698482
ipromoter_hs_tata,sparse_aligned_control,53,0.9878113325031134,0.9884554156935982,0.874717531350154,0.9373576309794988,0.9373599003735992,0.9363636363636364,0.9383561643835616,0.498056948184967
ipromoter_hs_tata,mucff,53,0.9889373183893732,0.9894903944463104,0.8955569831157743,0.9476082004555808,0.9476390618513906,0.9340909090909092,0.9611872146118722,0.5031037050485611
ipromoter_mm_notata,best_source,53,0.9309694050071432,0.932252588853282,0.7110924554198101,0.8551874319489812,0.8552114787983119,0.8331261653200746,0.8772967922765493,0.5156011748313903
ipromoter_mm_notata,probability_mean,53,0.9261245381059784,0.925047375237413,0.6990321996811668,0.8494322600715508,0.8494198876260307,0.8607830950901181,0.8380566801619433,0.4830008739944688
ipromoter_mm_notata,probability_median,53,0.9220920685361595,0.921140543248153,0.6809113179975301,0.8396329133613315,0.8395946171672539,0.8747669359850839,0.8044222983494238,0.4734555923938751
