analysis_group,task_id,condition,replicate,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
primary,ipromoter_hs_tata,missing_local_derived,0,0.9633759999999999,0.971898059854649,0.7121150753305642,0.846,0.846,0.964,0.728
primary,ipromoter_hs_tata,missing_sequence_grammar,0,0.9573439999999999,0.9691337647315234,0.7365584456209253,0.864,0.864,0.94,0.788
primary,ipromoter_hs_tata,missing_strongest,0,0.9564480000000001,0.9640481808282578,0.7080952413705038,0.846,0.846,0.952,0.74
primary,ipromoter_hs_tata,random_missing_20,1,0.9549599999999999,0.9683744731511841,0.7592198460608496,0.878,0.878,0.924,0.832
primary,ipromoter_hs_tata,random_missing_20,2,0.889728,0.8829913088827944,0.5910182802934225,0.788,0.788,0.9,0.676
primary,ipromoter_hs_tata,random_missing_20,3,0.946608,0.9569615706317608,0.6333333333333333,0.804,0.804,0.944,0.664
primary,ipromoter_hs_tata,random_missing_20,4,0.952336,0.9651126403541058,0.7010429563582953,0.844,0.844,0.94,0.748
primary,ipromoter_hs_tata,random_missing_20,5,0.954352,0.9594124000422152,0.7025031373936813,0.842,0.842,0.956,0.728
primary,ipromoter_hs_tata,random_missing_20,6,0.954896,0.9677770454539273,0.7167754422082824,0.854,0.8540000000000001,0.932,0.776
primary,ipromoter_hs_tata,random_missing_20,7,0.9491999999999999,0.9636961479592144,0.6858571279792899,0.836,0.8360000000000001,0.936,0.736
primary,ipromoter_hs_tata,random_missing_20,8,0.9492639999999999,0.963797986573268,0.7105899579978919,0.85,0.8500000000000001,0.936,0.764
primary,ipromoter_hs_tata,random_missing_20,9,0.953248,0.9618713144127602,0.7473603760032685,0.87,0.87,0.94,0.8
primary,ipromoter_hs_tata,random_missing_20,10,0.9283839999999999,0.9376853556026885,0.5979140521752595,0.782,0.782,0.948,0.616
primary,ipromoter_hs_tata,random_missing_20,11,0.9579359999999999,0.9691723854464441,0.7437516115670041,0.868,0.868,0.94,0.796
primary,ipromoter_hs_tata,random_missing_20,12,0.9598720000000001,0.9673582585544402,0.6985439450726216,0.838,0.838,0.964,0.712
primary,ipromoter_hs_tata,random_missing_20,13,0.957456,0.9689689662741003,0.7162287147323132,0.852,0.852,0.944,0.76
primary,ipromoter_hs_tata,random_missing_20,14,0.936368,0.938125308309768,0.6706683032429526,0.828,0.8280000000000001,0.932,0.724
primary,ipromoter_hs_tata,random_missing_20,15,0.9546879999999999,0.9674546298465512,0.7010429563582953,0.844,0.844,0.94,0.748
primary,ipromoter_hs_tata,random_missing_20,16,0.958736,0.9692894276196419,0.7070367255286566,0.848,0.8480000000000001,0.936,0.76
primary,ipromoter_hs_tata,random_missing_20,17,0.89608,0.8831329270018561,0.6205374015050718,0.804,0.804,0.904,0.704
primary,ipromoter_hs_tata,random_missing_20,18,0.964272,0.9732693395123057,0.7395521242819595,0.862,0.862,0.964,0.76
primary,ipromoter_hs_tata,random_missing_20,19,0.95888,0.9701232539419177,0.6990736758947546,0.84,0.84,0.956,0.724
primary,ipromoter_hs_tata,random_missing_20,20,0.9536960000000001,0.9659078571868989,0.7034903826483417,0.846,0.8460000000000001,0.936,0.756
primary,ipromoter_hs_tata,random_missing_40,1,0.864784,0.8481541208611704,0.5385466994770067,0.754,0.754,0.92,0.588
primary,ipromoter_hs_tata,random_missing_40,2,0.902192,0.9342180560873734,0.4154271588728568,0.684,0.684,0.916,0.452
primary,ipromoter_hs_tata,random_missing_40,3,0.9493919999999999,0.9644900649905094,0.7431517011706729,0.87,0.87,0.916,0.824
primary,ipromoter_hs_tata,random_missing_40,4,0.941184,0.9590548621305802,0.6289589360170277,0.804,0.804,0.932,0.676
primary,ipromoter_hs_tata,random_missing_40,5,0.950784,0.9631285122098079,0.6826248835207603,0.832,0.832,0.948,0.716
primary,ipromoter_hs_tata,random_missing_40,6,0.9550079999999999,0.9672179770450258,0.7080897520649005,0.848,0.848,0.94,0.756
primary,ipromoter_hs_tata,random_missing_40,7,0.951792,0.9653529038930478,0.7014980458827497,0.846,0.8460000000000001,0.928,0.764
primary,ipromoter_hs_tata,random_missing_40,8,0.8717919999999999,0.8568468423356728,0.4857685685082328,0.712,0.712,0.956,0.468
primary,ipromoter_hs_tata,random_missing_40,9,0.960736,0.9706141775879107,0.6403193041025829,0.802,0.802,0.968,0.636
primary,ipromoter_hs_tata,random_missing_40,10,0.8916160000000001,0.8903592106729341,0.5935404558865897,0.796,0.796,0.832,0.76
primary,ipromoter_hs_tata,random_missing_40,11,0.935744,0.9503122154072968,0.5793584501023474,0.772,0.772,0.944,0.6
primary,ipromoter_hs_tata,random_missing_40,12,0.9570080000000001,0.9670405336975108,0.7329737572864357,0.862,0.862,0.94,0.784
primary,ipromoter_hs_tata,random_missing_40,13,0.872208,0.8597512939500083,0.5418698263790444,0.754,0.754,0.928,0.58
primary,ipromoter_hs_tata,random_missing_40,14,0.919744,0.945774506989381,0.510139986273914,0.742,0.742,0.9,0.584
primary,ipromoter_hs_tata,random_missing_40,15,0.8138880000000001,0.792079544605697,0.4870712931970518,0.738,0.738,0.844,0.632
primary,ipromoter_hs_tata,random_missing_40,16,0.957504,0.9680899196120322,0.7574735861838574,0.876,0.876,0.936,0.816
primary,ipromoter_hs_tata,random_missing_40,17,0.9526400000000002,0.9596317187961974,0.721292399641066,0.856,0.8560000000000001,0.936,0.776
primary,ipromoter_hs_tata,random_missing_40,18,0.9478719999999998,0.9634625842119213,0.6960882013560393,0.844,0.8440000000000001,0.92,0.768
primary,ipromoter_hs_tata,random_missing_40,19,0.9485600000000001,0.9612455489915769,0.5870801383534751,0.772,0.772,0.96,0.584
primary,ipromoter_hs_tata,random_missing_40,20,0.94304,0.9593072968899445,0.6172273008945254,0.798,0.798,0.928,0.668
primary,ipromoter_hs_tata,score_noise_005,1,0.9002560000000001,0.892427437385942,0.6297896330958169,0.806,0.806,0.924,0.688
primary,ipromoter_hs_tata,score_noise_005,2,0.904864,0.9001451635736495,0.6342463731487198,0.814,0.8140000000000001,0.884,0.744
primary,ipromoter_hs_tata,score_noise_005,3,0.9098080000000001,0.9071847355598569,0.6414899641561748,0.814,0.8140000000000001,0.916,0.712
primary,ipromoter_hs_tata,score_noise_005,4,0.8864319999999999,0.8873436458169729,0.6050165928096337,0.798,0.798,0.884,0.712
primary,ipromoter_hs_tata,score_noise_005,5,0.921488,0.9233733841142949,0.6762796545128993,0.834,0.8340000000000001,0.912,0.756
primary,ipromoter_hs_tata,score_noise_005,6,0.918144,0.9169528809469956,0.6835274410299019,0.838,0.8380000000000001,0.912,0.764
primary,ipromoter_hs_tata,score_noise_005,7,0.914288,0.9142364393365789,0.6366196138935936,0.814,0.8140000000000001,0.896,0.732
primary,ipromoter_hs_tata,score_noise_005,8,0.8970879999999999,0.8885430901414075,0.5982349919125902,0.796,0.796,0.868,0.724
primary,ipromoter_hs_tata,score_noise_005,9,0.91464,0.9034681834168865,0.6475463812485095,0.818,0.8180000000000001,0.912,0.724
primary,ipromoter_hs_tata,score_noise_005,10,0.9136799999999999,0.9097131079751886,0.7091242083423346,0.852,0.8520000000000001,0.912,0.792
primary,ipromoter_hs_tata,score_noise_005,11,0.9161600000000001,0.9203673823640155,0.6411121297466805,0.816,0.8160000000000001,0.9,0.732
primary,ipromoter_hs_tata,score_noise_005,12,0.9098400000000001,0.9043484386749256,0.6638831227703844,0.83,0.8300000000000001,0.884,0.776
primary,ipromoter_hs_tata,score_noise_005,13,0.9168,0.9145256421533874,0.6843055088373238,0.84,0.8400000000000001,0.896,0.784
primary,ipromoter_hs_tata,score_noise_005,14,0.9023039999999999,0.8993056870457299,0.626700125390774,0.808,0.808,0.9,0.716
primary,ipromoter_hs_tata,score_noise_005,15,0.9034239999999999,0.8969241593484417,0.6709590354738519,0.83,0.8300000000000001,0.92,0.74
primary,ipromoter_hs_tata,score_noise_005,16,0.90832,0.8997845803527507,0.6537427613580606,0.822,0.8220000000000001,0.908,0.736
primary,ipromoter_hs_tata,score_noise_005,17,0.8904479999999999,0.9017664230044606,0.6118496314310189,0.804,0.804,0.86,0.748
primary,ipromoter_hs_tata,score_noise_005,18,0.9106559999999999,0.9156939837493954,0.6195263335259353,0.804,0.804,0.9,0.708
primary,ipromoter_hs_tata,score_noise_005,19,0.8962720000000001,0.882229041627137,0.6151477128262673,0.804,0.804,0.88,0.728
primary,ipromoter_hs_tata,score_noise_005,20,0.8770880000000001,0.8814323040692796,0.5882507637385276,0.792,0.792,0.852,0.732
primary,ipromoter_hs_notata,complete,0,0.90179704,0.916695818447935,0.46688009572562855,0.7056,0.7056,0.9424,0.4688
primary,ipromoter_hs_notata,conflicting_strongest,0,0.11947792000000002,0.3241042995404376,-0.6578491230757096,0.1746,0.17459999999999998,0.2476,0.1016
primary,ipromoter_hs_notata,missing_engineered,0,0.88642096,0.8891189042687113,0.5550554066325242,0.7686,0.7686,0.8944,0.6428
primary,ipromoter_hs_notata,missing_foundation,0,0.90155296,0.9194970097946316,0.4990723020306823,0.728,0.728,0.9312,0.5248
primary,ipromoter_hs_notata,missing_local_derived,0,0.8176044800000001,0.8203193052714899,0.17023792434079382,0.5312,0.5312,0.9964,0.066
primary,ipromoter_hs_notata,missing_sequence_grammar,0,0.90779776,0.9237919701651317,0.4763178430065847,0.7122,0.7122,0.9392,0.4852
primary,ipromoter_hs_notata,missing_strongest,0,0.78378936,0.7690229763596106,0.21817709210083472,0.555,0.555,0.9868,0.1232
primary,ipromoter_hs_notata,random_missing_20,1,0.9061432000000001,0.9240559118600147,0.4358095566709198,0.6844,0.6844,0.9508,0.418
primary,ipromoter_hs_notata,random_missing_20,2,0.89930432,0.9134760775630062,0.4632689367396423,0.7048,0.7048,0.9384,0.4712
primary,ipromoter_hs_notata,random_missing_20,3,0.90328768,0.9202967271659902,0.4890912372297555,0.7212,0.7212000000000001,0.9344,0.508
primary,ipromoter_hs_notata,random_missing_20,4,0.8991028000000001,0.9168868221968477,0.4505008672656645,0.696,0.696,0.9424,0.4496
primary,ipromoter_hs_notata,random_missing_20,5,0.9086957599999999,0.9260040280958821,0.485767663107877,0.717,0.717,0.9416,0.4924
primary,ipromoter_hs_notata,random_missing_20,6,0.89198512,0.9019999114030162,0.578812651174041,0.7826,0.7826,0.8904,0.6748
primary,ipromoter_hs_notata,random_missing_20,7,0.90225568,0.9186467568441573,0.46985182438178713,0.7084,0.7084,0.9392,0.4776
primary,ipromoter_hs_notata,random_missing_20,8,0.90058376,0.9174729173558569,0.4677278526656694,0.7088,0.7088,0.934,0.4836
primary,ipromoter_hs_notata,random_missing_20,9,0.8934143999999999,0.8969072844108271,0.5670905481070013,0.7746,0.7746,0.8992,0.65
primary,ipromoter_hs_notata,random_missing_20,10,0.9027124799999999,0.9178953949457775,0.4657488343480263,0.7056,0.7056,0.9404,0.4708
primary,ipromoter_hs_notata,random_missing_20,11,0.65750024,0.6385295056581562,0.2062358435843981,0.5942,0.5942,0.7976,0.3908
