run_task_id,evaluation_task,source,source_family,oof_auc,test_auc,oof_selected,oof_selected_individual_channel,oof_selected_standalone_source
gue_mouse_0,gue_mouse_0,dnashaper_ep__logreg_c1,dna_shape,0.6117879756412651,0.6159426916628563,False,False,False
gue_mouse_0,gue_mouse_0,dnashaper_all5__logreg_c03,dna_shape,0.7341740141402825,0.7311019661636946,False,False,False
gue_mouse_0,gue_mouse_0,dnabert1_6mer__pool_interaction,foundation_db1,0.7008835460342706,0.748306660570035,False,False,False
gue_mouse_0,gue_mouse_0,nt_500m_human_ref__pool_interaction,foundation_nt,0.586669162133981,0.6115896966925773,False,False,False
gue_mouse_0,gue_mouse_0,dnabert2__pool_interaction,foundation_db2,0.7247624897519508,0.732223746380125,False,False,False
gue_mouse_0,gue_mouse_0,cross_foundation__attention_interaction,foundation_cross,0.7263000426745881,0.7674013107757964,False,False,False
gue_mouse_0,gue_mouse_0,cross_foundation__anchor_residual,foundation_residual,0.7735680826489624,0.7808931565310167,False,False,False
gue_mouse_0,gue_mouse_0,aligned_score_anchor,derived_anchor,0.8545830763278426,0.8624417009602194,True,True,False
gue_mouse_0,gue_mouse_0,local_cross,preclassifier_local,0.7396969751561836,0.7592623075750647,False,False,False
gue_mouse_0,gue_mouse_0,local_cross_db1,preclassifier_local,0.767833130826828,0.7886724584666971,False,False,False
gue_mouse_0,gue_mouse_0,local_cross_db1_nt,preclassifier_local,0.7797381208177927,0.7899771376314587,False,False,False
gue_mouse_0,gue_mouse_0,local_cross_nt,preclassifier_local,0.7464131470140036,0.7673769242493522,False,False,False
gue_mouse_0,gue_mouse_0,local_cross_db1_nt_mean,preclassifier_local,0.7658935674611651,0.7923487273281512,False,False,False
gue_mouse_0,gue_mouse_0,rc_multiscale_seed0,sequence_grammar_rc,0.8398299364761542,0.8720469440634049,False,False,False
gue_mouse_0,gue_mouse_0,rc_multiscale_seed1,sequence_grammar_rc,0.8421332394625842,0.879817101051669,False,False,True
gue_mouse_0,gue_mouse_0,rc_multiscale_seed2,sequence_grammar_rc,0.8399536136663914,0.8732418838591678,False,False,False
gue_mouse_0,gue_mouse_0,rc_multiscale_biophysical_seed3,sequence_grammar_biophysical,0.8377115535275356,0.8756744398719706,False,False,False
gue_mouse_0,gue_mouse_0,rc_multiscale_biophysical_position_seed4,sequence_grammar_position,0.8214755742076963,0.8747965249199817,False,False,False
gue_prom_300_all,gue_prom_300_all,kmer13__logreg_l2_c1,composition,0.8678044512192442,0.8643807925854905,False,False,False
gue_prom_300_all,gue_prom_300_all,kmer13__logreg_l2_c03,composition,0.8101487094796481,0.807049890425969,False,False,False
gue_prom_300_all,gue_prom_300_all,kmer46__logreg_l2_c1,composition,0.8396244828266899,0.8384437634114048,False,False,False
gue_prom_300_all,gue_prom_300_all,kmer46__logreg_l2_c03,composition,0.798775690217468,0.7954619230242432,False,False,False
gue_prom_300_all,gue_prom_300_all,fcgr4__scaled_logreg_l2_c1,composition,0.9382593762348219,0.9325009131169246,False,False,False
gue_prom_300_all,gue_prom_300_all,fcgr4__extratrees_300,composition,0.9493447701041636,0.9435903757476145,False,False,False
gue_prom_300_all,gue_prom_300_all,basicpos__scaled_logreg_l2_c1,motif_position,0.9509212968284849,0.9463577477971055,False,False,False
gue_prom_300_all,gue_prom_300_all,basicpos__extratrees_300,motif_position,0.9603273489519749,0.9557998333561614,False,False,False
gue_prom_300_all,gue_prom_300_all,cksnap5__scaled_logreg_l2_c1,physicochemical,0.9319271620310089,0.9252571565538966,False,False,False
gue_prom_300_all,gue_prom_300_all,cksnap5__extratrees_300,physicochemical,0.9451063451174951,0.9382343172168196,False,False,False
gue_prom_300_all,gue_prom_300_all,zcurve12__scaled_logreg_l2_c1,physicochemical,0.7431331442952919,0.7368667534127744,False,False,False
gue_prom_300_all,gue_prom_300_all,zcurve12__extratrees_300,physicochemical,0.892121069773934,0.8904909144865999,False,False,False
gue_prom_300_all,gue_prom_300_all,eiip_auto__scaled_logreg_l2_c1,physicochemical,0.7272296324696256,0.7127282792311556,False,False,False
gue_prom_300_all,gue_prom_300_all,eiip_auto__extratrees_300,physicochemical,0.7955380569080707,0.7944664543669817,False,False,False
gue_prom_300_all,gue_prom_300_all,dinuc_auto__scaled_logreg_l2_c1,physicochemical,0.9355117610339105,0.9313527827238278,False,False,False
gue_prom_300_all,gue_prom_300_all,dinuc_auto__extratrees_300,physicochemical,0.9472919870342522,0.9406900881157831,False,False,False
gue_prom_300_all,gue_prom_300_all,promoter_motif__scaled_logreg_l2_c1,motif_position,0.8668693264543936,0.8589973976167649,False,False,False
gue_prom_300_all,gue_prom_300_all,promoter_motif__extratrees_300,motif_position,0.9263909825587996,0.9246191731726248,False,False,False
gue_prom_300_all,gue_prom_300_all,dnabert2__scaled_logreg_l2_c1,foundation_db2,0.9605441027374112,0.9592498744464228,False,False,False
gue_prom_300_all,gue_prom_300_all,dnabert2__scaled_logreg_l2_c03,foundation_db2,0.9606727735706116,0.9593384467881112,False,False,False
gue_prom_300_all,gue_prom_300_all,dnabert1_6mer_mean__linear,foundation_db1,0.954669263144755,0.9508529082774048,False,False,False
gue_prom_300_all,gue_prom_300_all,dnabert1_6mer_cls__linear,foundation_db1,0.8969284795786746,0.8945239236634251,False,False,False
gue_prom_300_all,gue_prom_300_all,nt_500m_human_ref_mean__linear,foundation_nt,0.9416209117852218,0.9333296808656348,False,False,False
gue_prom_300_all,gue_prom_300_all,nt_500m_human_ref_cls__linear,foundation_nt,0.9495762862809691,0.9438785782769485,False,False,False
gue_prom_300_all,gue_prom_300_all,dnashaper_shape4__logreg_c1,dna_shape,0.9383608918662583,0.9339795347669271,False,False,False
gue_prom_300_all,gue_prom_300_all,dnashaper_shape4__histgb,dna_shape,0.9521503727061029,0.9464327945943478,False,False,False
gue_prom_300_all,gue_prom_300_all,dnashaper_ep__logreg_c1,dna_shape,0.8962456906623819,0.885846915947587,False,False,False
gue_prom_300_all,gue_prom_300_all,dnashaper_all5__logreg_c03,dna_shape,0.952846828851764,0.9473612062274572,False,False,False
gue_prom_300_all,gue_prom_300_all,dnabert1_6mer__pool_interaction,foundation_db1,0.9397360113423681,0.9545214125918824,False,False,False
gue_prom_300_all,gue_prom_300_all,nt_500m_human_ref__pool_interaction,foundation_nt,0.9375837834603741,0.9515380313199105,False,False,False
gue_prom_300_all,gue_prom_300_all,dnabert2__pool_interaction,foundation_db2,0.9436277899091446,0.9547543715472766,False,False,False
gue_prom_300_all,gue_prom_300_all,cross_foundation__attention_interaction,foundation_cross,0.9518550312370169,0.9616615874537735,False,False,False
gue_prom_300_all,gue_prom_300_all,cross_foundation__anchor_residual,foundation_residual,0.963363740892747,0.9680070081723964,False,False,False
gue_prom_300_all,gue_prom_300_all,aligned_score_anchor,derived_anchor,0.9768774362181932,0.974369835182395,False,False,False
gue_prom_300_all,gue_prom_300_all,local_cross,preclassifier_local,0.9640166830772114,0.9727572136237046,False,False,False
gue_prom_300_all,gue_prom_300_all,local_cross_db1,preclassifier_local,0.9706982173944659,0.9757903597680683,False,False,False
gue_prom_300_all,gue_prom_300_all,local_cross_db1_nt,preclassifier_local,0.9749795436580517,0.980624457836826,False,False,False
gue_prom_300_all,gue_prom_300_all,local_cross_nt,preclassifier_local,0.9684486164115684,0.9773107565173721,False,False,False
gue_prom_300_all,gue_prom_300_all,local_cross_db1_nt_mean,preclassifier_local,0.9739055544918651,0.9797705793726887,False,False,False
gue_prom_300_all,gue_prom_300_all,rc_multiscale_seed0,sequence_grammar_rc,0.9555256093752488,0.9658186093229237,False,False,False
gue_prom_300_all,gue_prom_300_all,rc_multiscale_seed1,sequence_grammar_rc,0.9375618900304384,0.9656373556133863,False,False,False
gue_prom_300_all,gue_prom_300_all,rc_multiscale_seed2,sequence_grammar_rc,0.9614080321621183,0.9644016230653335,False,False,False
gue_prom_300_all,gue_prom_300_all,rc_multiscale_biophysical_seed3,sequence_grammar_biophysical,0.9706236705732154,0.9737932589143039,False,False,False
gue_prom_300_all,gue_prom_300_all,rc_multiscale_biophysical_position_seed4,sequence_grammar_position,0.9772685892013231,0.978638371455965,True,True,True
gue_prom_core_all,gue_prom_core_all,kmer13__logreg_l2_c1,composition,0.8298563460493601,0.8328952822884024,False,False,False
gue_prom_core_all,gue_prom_core_all,kmer13__logreg_l2_c03,composition,0.8025806222384637,0.8079981637922848,False,False,False
gue_prom_core_all,gue_prom_core_all,kmer46__logreg_l2_c1,composition,0.8183303858307764,0.8222983390127028,False,False,False
gue_prom_core_all,gue_prom_core_all,kmer46__logreg_l2_c03,composition,0.7920870336306383,0.7955897230805191,False,False,False
gue_prom_core_all,gue_prom_core_all,fcgr4__scaled_logreg_l2_c1,composition,0.8618818022475481,0.8621945398615036,False,False,False
gue_prom_core_all,gue_prom_core_all,fcgr4__extratrees_300,composition,0.8723650519068636,0.8752367735520348,False,False,False
gue_prom_core_all,gue_prom_core_all,basicpos__scaled_logreg_l2_c1,motif_position,0.8735908884049857,0.8712213817303267,False,False,False
