run_task_id,evaluation_task,stage,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,oof_auc,threshold,n_test
ienhancer_strength,ienhancer_strength,base_evidence,28,1.0,1.0,0.4685212856658182,0.68,0.6799999999999999,1.0,0.36,0.7027702501434893,0.3956217378377915,200
ienhancer_strength,ienhancer_strength,foundation_interactions,33,1.0,1.0,0.4445276036638914,0.665,0.665,1.0,0.33,0.6991757543173909,0.38770773246884344,200
ienhancer_strength,ienhancer_strength,local_foundation_fusion,39,1.0,1.0,0.5,0.7,0.7,1.0,0.4,0.732681395805029,0.4913099291920662,200
ienhancer_strength,ienhancer_strength,rc_grammar_1,40,0.9999,0.9999009900990099,0.5,0.7,0.7,1.0,0.4,0.7311556876221474,0.48051021292805685,200
ienhancer_strength,ienhancer_strength,rc_grammar_2,41,1.0,1.0,0.5078007830046403,0.705,0.705,1.0,0.41,0.7308414643892445,0.5077130770683289,200
ienhancer_strength,ienhancer_strength,rc_grammar_3,42,0.9999,0.9999009900990099,0.5155800469472481,0.71,0.71,1.0,0.42,0.7300604471051504,0.5161275231838226,200
ienhancer_strength,ienhancer_strength,biophysical_grammar,43,0.9999,0.9999009900990099,0.5155800469472481,0.71,0.71,1.0,0.42,0.7301567120262131,0.5172951251268387,200
ienhancer_strength,ienhancer_strength,position_aware_grammar,44,0.9999,0.9999009900990099,0.5155800469472481,0.71,0.71,1.0,0.42,0.7296045509695513,0.5190102580189705,200
ienhancer_strength,ienhancer_strength,reliability_routed_l2,44,1.0,1.0,0.5078007830046403,0.705,0.705,1.0,0.41,0.7374801113040446,0.5492250210046768,200
ienhancer_strength,ienhancer_strength,mucff_dual_decision,44,0.9994999999999999,0.9995008706512909,0.5078007830046403,0.705,0.705,1.0,0.41,0.7295482450723259,0.5276614792490008,200
ipromoter_hs_notata,ipromoter_hs_notata,base_evidence,28,0.8583643999999999,0.8575464562388535,0.2722619236172002,0.5808,0.5808,0.9832,0.1784,0.9678471831601011,0.5689105427265168,5000
ipromoter_hs_notata,ipromoter_hs_notata,foundation_interactions,33,0.8678563199999999,0.8701022735017871,0.2332132823226817,0.5612,0.5612,0.9868,0.1356,0.9678091438116867,0.5716381376981736,5000
ipromoter_hs_notata,ipromoter_hs_notata,local_foundation_fusion,39,0.8782476800000001,0.8856719123414082,0.3812446385068764,0.6504,0.6504,0.9576,0.3432,0.9687749530526684,0.5386299872398377,5000
ipromoter_hs_notata,ipromoter_hs_notata,rc_grammar_1,40,0.87893296,0.8867685953373298,0.3654923913990113,0.639,0.639,0.9636,0.3144,0.969291245960346,0.5127187132835388,5000
ipromoter_hs_notata,ipromoter_hs_notata,rc_grammar_2,41,0.8780560800000001,0.8856158902549691,0.3788022312012382,0.6492,0.6492,0.9572,0.3412,0.969536568695956,0.538770318031311,5000
ipromoter_hs_notata,ipromoter_hs_notata,rc_grammar_3,42,0.87860312,0.8861859162765442,0.36776891160502895,0.6408,0.6408,0.9624,0.3192,0.9696745403528693,0.5258222308754922,5000
ipromoter_hs_notata,ipromoter_hs_notata,biophysical_grammar,43,0.87805152,0.8854950680460203,0.36925085081609815,0.6418,0.6417999999999999,0.962,0.3216,0.9697683793344399,0.5250688403844833,5000
ipromoter_hs_notata,ipromoter_hs_notata,position_aware_grammar,44,0.8798248799999999,0.8868852342806266,0.3839311601576405,0.6514,0.6514,0.9588,0.344,0.9699973534806534,0.5266678443551064,5000
ipromoter_hs_notata,ipromoter_hs_notata,reliability_routed_l2,44,0.8959109599999999,0.9072797820811312,0.4172942062219212,0.6732,0.6732,0.952,0.3944,0.9705726864791684,0.5108130836486816,5000
ipromoter_hs_notata,ipromoter_hs_notata,mucff_dual_decision,44,0.90178432,0.916681108205149,0.46688009572562855,0.7056,0.7056,0.9424,0.4688,0.9711410843741812,0.5064476056657118,5000
ipromoter_hs_tata,ipromoter_hs_tata,base_evidence,28,0.955568,0.9668764726874991,0.7138458282339143,0.85,0.85,0.948,0.752,0.9736149122577208,0.4882974679768086,500
ipromoter_hs_tata,ipromoter_hs_tata,foundation_interactions,33,0.955296,0.9666939914282353,0.641550320073814,0.806,0.806,0.956,0.656,0.9735992909215141,0.4247962498664856,500
ipromoter_hs_tata,ipromoter_hs_tata,local_foundation_fusion,39,0.9543680000000001,0.9659612878288188,0.7704694597489229,0.884,0.884,0.924,0.844,0.9735232996297581,0.5971002653241158,500
ipromoter_hs_tata,ipromoter_hs_tata,rc_grammar_1,40,0.95432,0.9659385338910479,0.7592198460608496,0.878,0.878,0.924,0.832,0.9734697640087994,0.5953693330287936,500
ipromoter_hs_tata,ipromoter_hs_tata,rc_grammar_2,41,0.9543839999999999,0.9659897471940294,0.7103520254071216,0.848,0.848,0.948,0.748,0.9734333142243168,0.4806188280880453,500
ipromoter_hs_tata,ipromoter_hs_tata,rc_grammar_3,42,0.9547519999999999,0.9662774036975474,0.7487107331984836,0.872,0.872,0.928,0.816,0.9733936099947913,0.5767461562156677,500
ipromoter_hs_tata,ipromoter_hs_tata,biophysical_grammar,43,0.954256,0.9658484686850031,0.7232904433569016,0.856,0.856,0.944,0.768,0.9734808291219459,0.5078401565551758,500
ipromoter_hs_tata,ipromoter_hs_tata,position_aware_grammar,44,0.954032,0.9656209078667747,0.7480564880520522,0.872,0.872,0.924,0.82,0.9734091499698719,0.5775477933883665,500
ipromoter_hs_tata,ipromoter_hs_tata,reliability_routed_l2,44,0.955488,0.9674484711717303,0.6929780510484965,0.838,0.838,0.948,0.728,0.9734025597186597,0.49852484464645386,500
ipromoter_hs_tata,ipromoter_hs_tata,mucff_dual_decision,44,0.9573440000000001,0.9691402248466354,0.7303809073063449,0.86,0.86,0.944,0.776,0.9741740259161222,0.5083999997058694,500
ipromoter_mm_notata,ipromoter_mm_notata,base_evidence,28,0.8551136000000001,0.8629104784305325,0.2674996568357252,0.5764,0.5764,0.9868,0.166,0.9628388320331441,0.586623170375824,5000
ipromoter_mm_notata,ipromoter_mm_notata,foundation_interactions,33,0.8580284,0.8660700317057795,0.26208649616545643,0.5744,0.5744,0.986,0.1628,0.9628456869314291,0.5909062278270721,5000
ipromoter_mm_notata,ipromoter_mm_notata,local_foundation_fusion,39,0.8750092,0.8858755959262917,0.37177474901766194,0.6446,0.6446000000000001,0.9588,0.3304,0.9640844769179469,0.519684865176678,5000
ipromoter_mm_notata,ipromoter_mm_notata,rc_grammar_1,40,0.87511416,0.8863713491278192,0.3860415747033822,0.6536,0.6536,0.9564,0.3508,0.9646376221138232,0.5356736087799072,5000
ipromoter_mm_notata,ipromoter_mm_notata,rc_grammar_2,41,0.8758682400000001,0.8874097818422748,0.3874014321128939,0.6542,0.6542,0.9568,0.3516,0.9647427212680726,0.5391879868507385,5000
ipromoter_mm_notata,ipromoter_mm_notata,rc_grammar_3,42,0.87404584,0.8855190906147201,0.42441164935061465,0.681,0.6809999999999999,0.942,0.42,0.9649263026524961,0.5918409776687622,5000
ipromoter_mm_notata,ipromoter_mm_notata,biophysical_grammar,43,0.87378608,0.8857686017740293,0.42277873088514306,0.6802,0.6802,0.9416,0.4188,0.964978587575179,0.5915320956707001,5000
ipromoter_mm_notata,ipromoter_mm_notata,position_aware_grammar,44,0.87621712,0.8883345993930227,0.4109213858702925,0.67,0.6699999999999999,0.9508,0.3892,0.965557270183589,0.5387094497680663,5000
ipromoter_mm_notata,ipromoter_mm_notata,reliability_routed_l2,44,0.8934016,0.908974548596285,0.4735393680287215,0.7134,0.7134,0.93,0.4968,0.9659100858958279,0.5410406872630121,5000
ipromoter_mm_notata,ipromoter_mm_notata,mucff_dual_decision,44,0.9004835200000001,0.9189235226585182,0.5145409002547621,0.7386,0.7385999999999999,0.9256,0.5516,0.966666268059932,0.53612147475106,5000
ipromoter_mm_tata,ipromoter_mm_tata,base_evidence,28,0.950704,0.9643085785891757,0.6969791726868727,0.844,0.8440000000000001,0.924,0.764,0.9744104335672064,0.44595247507095354,500
ipromoter_mm_tata,ipromoter_mm_tata,foundation_interactions,33,0.953152,0.9660842335685261,0.7050835816716038,0.848,0.8480000000000001,0.928,0.768,0.9746540834160371,0.44720638707280214,500
ipromoter_mm_tata,ipromoter_mm_tata,local_foundation_fusion,39,0.9529120000000001,0.9657841815427035,0.6847396317918233,0.836,0.8360000000000001,0.932,0.74,0.9745347770222506,0.40082813203334827,500
ipromoter_mm_tata,ipromoter_mm_tata,rc_grammar_1,40,0.9528800000000001,0.9657650474284568,0.6847396317918233,0.836,0.8360000000000001,0.932,0.74,0.9744308696443086,0.40377952829003344,500
ipromoter_mm_tata,ipromoter_mm_tata,rc_grammar_2,41,0.9529440000000001,0.9657758241581199,0.6847396317918233,0.836,0.8360000000000001,0.932,0.74,0.9744796571804892,0.4045707434415818,500
ipromoter_mm_tata,ipromoter_mm_tata,rc_grammar_3,42,0.9525119999999999,0.9655404084822705,0.6741773508647697,0.83,0.8300000000000001,0.932,0.728,0.9744414474729496,0.368240287154913,500
ipromoter_mm_tata,ipromoter_mm_tata,biophysical_grammar,43,0.95416,0.9665844259794737,0.7050835816716038,0.848,0.8480000000000001,0.928,0.768,0.9748574367748071,0.4299187302589417,500
ipromoter_mm_tata,ipromoter_mm_tata,position_aware_grammar,44,0.954016,0.9665009676506312,0.6893711141230373,0.838,0.8380000000000001,0.936,0.74,0.9749383175870002,0.3841829124093063,500
ipromoter_mm_tata,ipromoter_mm_tata,reliability_routed_l2,44,0.953712,0.9664271377354053,0.6953575458547193,0.842,0.8420000000000001,0.932,0.752,0.9752763763554012,0.4340975515544418,500
ipromoter_mm_tata,ipromoter_mm_tata,mucff_dual_decision,44,0.954992,0.9673912939946401,0.696417806248397,0.842,0.8420000000000001,0.936,0.748,0.9760874871339064,0.4060250017668883,500
snnrice6ma_rice_chen__fold00,snnrice6ma_rice_chen,base_evidence,28,0.922262396694215,0.917457664163772,0.6739886745296482,0.8352272727272727,0.8352272727272727,0.8863636363636364,0.7840909090909091,0.8862950846852361,0.4587354946136475,176
