task_id,method,fusion_family,oof_auc,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,mean_oof_threshold,n_test
ipromoter_mm_notata,nystroem_rbf_stacking,kernel stacking,0.9578114527649836,0.88959936,0.9105746792406458,0.4686500102451951,0.7116,0.7116,0.9264,0.4968,0.5105436199903489,5000
snnrice6ma_rice_chen,nystroem_rbf_stacking,kernel stacking,0.8711921933986329,0.8740831611570249,0.8674364844390245,0.576541887267907,0.7880681818181818,0.7880681818181818,0.7693181818181818,0.8068181818181818,0.5071764567494392,1760
gue_emp_H3,oof_skill_linear_pool,linear opinion pool,0.941839093944968,0.9367897752628478,0.9327576469925212,0.7486062642193415,0.87374749498998,0.8739642277003267,0.8490066225165563,0.898921832884097,0.5454137325286864,1497
gue_human_tf_0,oof_skill_linear_pool,linear opinion pool,0.8807217180367204,0.9212319999999999,0.9044642818141772,0.7019772053555426,0.846,0.8460000000000001,0.93,0.762,0.5078737854957581,1000
gue_mouse_0,oof_skill_linear_pool,linear opinion pool,0.8628626327218295,0.8709647919524462,0.8729667787560171,0.6102433835373272,0.8037037037037037,0.8037037037037037,0.7555555555555555,0.8518518518518519,0.5035225063562393,810
gue_prom_300_all,oof_skill_linear_pool,linear opinion pool,0.9767535553810082,0.9733344747294892,0.9700670441642607,0.8461028009879348,0.922972972972973,0.9228986896772131,0.9338926174496645,0.9119047619047619,0.5058764368295671,5920
gue_prom_core_all,oof_skill_linear_pool,linear opinion pool,0.908472663514243,0.9079515281338797,0.9088645771803667,0.6564167603575907,0.8282094594594595,0.828208661129738,0.8285040431266847,0.8279132791327913,0.4808716908097267,5920
ipromoter_hs_tata,oof_skill_linear_pool,linear opinion pool,0.8506355361641256,0.8257599999999999,0.81099047572518,0.4322570823370256,0.714,0.714,0.784,0.644,0.49540620952844616,500
ipromoter_hs_notata,oof_skill_linear_pool,linear opinion pool,0.8400913977203249,0.6592768,0.6556254492367355,0.22721117244112018,0.6096,0.6095999999999999,0.7412,0.478,0.5210971689224243,5000
ipromoter_mm_tata,oof_skill_linear_pool,linear opinion pool,0.8649830121511187,0.8535360000000001,0.8445808451930159,0.5242055288588677,0.762,0.762,0.776,0.748,0.49365345492959023,500
ipromoter_mm_notata,oof_skill_linear_pool,linear opinion pool,0.8374385839767141,0.7156536,0.7210616854550409,0.2757809985338335,0.6354,0.6354,0.73,0.5408,0.5064180746674538,5000
snnrice6ma_rice_chen,oof_skill_linear_pool,linear opinion pool,0.858640062238547,0.8608626033057851,0.8648643572665593,0.5546861059173276,0.7761363636363636,0.7761363636363636,0.7295454545454545,0.8227272727272728,0.5189322850704194,1760
gue_emp_H3,oof_skill_log_pool,logarithmic opinion pool,0.9458443566397526,0.9410506774245372,0.9359505259924691,0.7410128071407814,0.8704074816299265,0.870490530336838,0.8609271523178808,0.8800539083557951,0.529850780963898,1497
gue_human_tf_0,oof_skill_log_pool,logarithmic opinion pool,0.8826980390732978,0.9216759999999999,0.9085508472573138,0.6669368821746213,0.822,0.822,0.952,0.692,0.45414695039391517,1000
gue_mouse_0,oof_skill_log_pool,logarithmic opinion pool,0.8554833700170843,0.8641914342325865,0.8682239004312153,0.5728412523765447,0.7864197530864198,0.7864197530864198,0.7876543209876543,0.7851851851851852,0.4720755961537362,810
gue_prom_300_all,oof_skill_log_pool,logarithmic opinion pool,0.9795456459312568,0.9765319819202849,0.9749937962686651,0.8472723485194534,0.9234797297297297,0.9233792174587956,0.938255033557047,0.9085034013605442,0.49296987578272894,5920
